station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
20.0396223,99.4767091,2025-09-01,386.0,0.0291,0.0714,0.1777,0.1467,0.13,0.1736000031232834,0.208,0.219,0.203,0.2106,0.2214,0.2234,0.2709,-0.011670927527085104,0,0,0,0.0,0,-0.031206334420121152,0.09014674160157964,-0.12101264936394893,,,0,0.0005,0.0131,0.0177,0.0212,0.4836
20.0396223,99.4767091,2025-09-22,204.0,0.0208,0.0761,0.1623,0.1307,0.1294,0.16660000383853912,0.1998,0.1972,0.1768,0.1799,0.2032,0.1895,0.2222,0.013073894157356247,0,0,0,0.0,0,-0.00843672456575679,0.09061134228615093,-0.09897240611560686,,,0,0.0003,0.013,0.017,0.0202,0.433
19.9741234,99.6569426,2025-04-01,176.0,0.0766,0.0654,0.1786,0.1567,0.0841,0.13040000200271606,0.1716,0.1859,0.166,0.1676,0.1047,0.1596,0.1782,-0.1559870475239035,0,0,0,0.0,0,0.242128121606949,0.1364238335233965,0.10931519261500965,,,0,0.0005,0.0086,0.0132,0.0176,0.1653
19.9741234,99.6569426,2025-05-13,314.0,0.0242,0.0473,0.0465,0.0339,0.0485,0.058400001376867294,0.0616,0.0616,0.0588,0.0643,0.0452,0.0569,0.0491,0.11344138437248391,0,0,0,0.0,0,0.15355805243445697,0.02666665488680219,0.12741313901000303,,,0,0.0008,0.0049,0.0061,0.0064,0.3254
19.9741234,99.6569426,2025-05-27,779.0,0.0231,0.0922,0.0978,0.0647,0.1066,0.1467999964952469,0.2004,0.2113,0.1843,0.2005,0.1586,0.1649,0.2103,0.20032705313713717,0,0,0,0.0,0,0.11643454038997215,0.15437789183700892,-0.03863786391672979,,,0,0.0005,0.0106,0.0151,0.0206,0.438
19.9741234,99.6569426,2025-06-09,2518.0,0.0298,0.0955,0.1145,0.0922,0.082,0.12460000067949295,0.1694,0.1835,0.142,0.1418,0.0904,0.1359,0.1851,0.04224174257963187,0,0,0,0.0,0,0.3040800615858353,0.15238094971756894,0.15906977009956358,,,0,0.0005,0.0082,0.0127,0.0173,0.4928
19.9741234,99.6569426,2025-06-23,482.0,0.027,0.5381,0.5425,0.4928,0.5112,0.4779999852180481,0.4552,0.5054,0.5466,0.5787,0.5524,0.5935,0.981,-0.06320432701247938,0,0,0,0.01,0,-0.09646685192536722,-0.024432046270040114,-0.07220498432577883,,,0,0.0009,0.0255,0.0255,0.0255,0.4823
19.9741234,99.6569426,2025-07-01,475.0,0.0175,0.1064,0.087,0.0597,0.1194,0.15559999644756317,0.1924,0.2151,0.1803,0.2036,0.1626,0.1784,0.2166,0.28276998125344466,0,0,0,0.0,0,0.08394366197183097,0.10574713772441621,-0.021998754338736673,,,0,0.0003,0.0122,0.0159,0.0196,0.4609
19.9741234,99.6569426,2025-07-21,405.0,0.0175,0.1064,0.087,0.0597,0.1194,0.15559999644756317,0.1924,0.2151,0.1803,0.2036,0.1626,0.1784,0.2166,0.28276998125344466,0,0,0,0.0,0,0.08394366197183097,0.10574713772441621,-0.021998754338736673,,,0,0.0003,0.0122,0.0159,0.0196,0.4609
19.9741234,99.6569426,2025-08-18,201.0,0.0292,0.0827,0.0568,0.0374,0.1076,0.1436000019311905,0.1936,0.1949,0.141,0.1528,0.1318,0.129,0.1629,0.4331337379976383,0,0,0,0.0,0,0.18992009834050397,0.14827994597405897,0.04284677504882064,,,0,0.0005,0.0109,0.0146,0.0197,0.3884
