River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Kok,12//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Sep,22-26 Sep  2025,16:00,2.5,32,27.5,6.99,204,108.6,0,,,,<0.001,,0.22,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,0.011,
Kok,13//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Nov,4-7 Nov 2025,,,,,,,,,,,,,,,,,,,,,,
Kok,14//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Dec,9-12 Dec 2025,,,,,,,,,,,,,,,,,,,,,,
Kok,1//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Mar,Mar,,,,,,,,,,,,,,,,,,,,,,
Kok,2//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Apr,Apr,,,,,8.03,176,158.2,,455,603,148,<0.001,,0.18,<0.010,0.018,<0.100,<0.010,<0.002,0.019,<0.010,
Kok,3//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,May,13-16 May  2025,10:03,1.5,26,28,7.82,314,142.4,0,,,,<0.001,,0.32,<0.010,0.022,<0.10,<0.010,<0.0005,0.016,<0.010,
Kok,4//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,May,27-30 May  2025,11:02,3,30,27.4,7.49,779,121.7,0,,,,<0.001,,0.56,0.013,0.038,<0.10,0.017,<0.0005,0.022,0.027,
Kok,5//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Jun,9-13 Jun  2025,11:03,2,35,28.4,7.6,2518,117.7,0,,,,<0.001,,1.6,0.038,0.082,<0.10,0.033,<0.0005,0.047,0.079,
Kok,6//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Jun,23-27 Jun  2025,14:00,3.5,31,28.5,7.69,482,112.4,0,,,,<0.001,,0.45,0.011,0.024,<0.10,0.013,<0.0005,0.013,0.021,
Kok,7//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Jul,30 Jun-4 Jul 2025,9:02,2,26,27,7.6,475,109.4,0,,,,<0.001,,0.4,0.011,0.02,<0.10,0.011,<0.0005,0.013,0.022,
